shirt_number,edition,label,body_color,size,qty,front_file,back_file,ink_note,affiliate_token,affiliate_url
060,Order A,JIU FIGHT · taped hands · #060/150,WHITE,M,1,060_front.png,060_back.png,as-is (cobalt blue) + 「060/150」 番号入り,dwmnb,https://wearmu.com/jf/dwmnb
061,Order A,JIU FIGHT · taped hands · #061/150,WHITE,LL,1,061_front.png,061_back.png,as-is (cobalt blue) + 「061/150」 番号入り,sassn,https://wearmu.com/jf/sassn
062,Order A,JIU FIGHT · taped hands · #062/150,WHITE,LL,1,062_front.png,062_back.png,as-is (cobalt blue) + 「062/150」 番号入り,npkub,https://wearmu.com/jf/npkub
063,Order A,JIU FIGHT · taped hands · #063/150,WHITE,LL,1,063_front.png,063_back.png,as-is (cobalt blue) + 「063/150」 番号入り,udawh,https://wearmu.com/jf/udawh
064,Order A,JIU FIGHT · taped hands · #064/150,WHITE,LL,1,064_front.png,064_back.png,as-is (cobalt blue) + 「064/150」 番号入り,95pb4,https://wearmu.com/jf/95pb4
065,Order A,JIU FIGHT · taped hands · #065/150,WHITE,LL,1,065_front.png,065_back.png,as-is (cobalt blue) + 「065/150」 番号入り,hd8w4,https://wearmu.com/jf/hd8w4
066,Order A,JIU FIGHT · taped hands · #066/150,WHITE,LL,1,066_front.png,066_back.png,as-is (cobalt blue) + 「066/150」 番号入り,4dht8,https://wearmu.com/jf/4dht8
067,Order A,JIU FIGHT · taped hands · #067/150,WHITE,LL,1,067_front.png,067_back.png,as-is (cobalt blue) + 「067/150」 番号入り,k262s,https://wearmu.com/jf/k262s
068,Order A,JIU FIGHT · taped hands · #068/150,WHITE,LL,1,068_front.png,068_back.png,as-is (cobalt blue) + 「068/150」 番号入り,r9q6q,https://wearmu.com/jf/r9q6q
069,Order A,JIU FIGHT · taped hands · #069/150,WHITE,LL,1,069_front.png,069_back.png,as-is (cobalt blue) + 「069/150」 番号入り,p9aat,https://wearmu.com/jf/p9aat
070,Order A,JIU FIGHT · taped hands · #070/150,WHITE,LL,1,070_front.png,070_back.png,as-is (cobalt blue) + 「070/150」 番号入り,xuttc,https://wearmu.com/jf/xuttc
071,Order A,JIU FIGHT · taped hands · #071/150,WHITE,LL,1,071_front.png,071_back.png,as-is (cobalt blue) + 「071/150」 番号入り,nkm4x,https://wearmu.com/jf/nkm4x
072,Order A,JIU FIGHT · taped hands · #072/150,WHITE,LL,1,072_front.png,072_back.png,as-is (cobalt blue) + 「072/150」 番号入り,fajy9,https://wearmu.com/jf/fajy9
073,Order A,JIU FIGHT · taped hands · #073/150,WHITE,LL,1,073_front.png,073_back.png,as-is (cobalt blue) + 「073/150」 番号入り,kfpxp,https://wearmu.com/jf/kfpxp
074,Order A,JIU FIGHT · taped hands · #074/150,WHITE,LL,1,074_front.png,074_back.png,as-is (cobalt blue) + 「074/150」 番号入り,f8g4n,https://wearmu.com/jf/f8g4n
075,Order A,JIU FIGHT · taped hands · #075/150,WHITE,LL,1,075_front.png,075_back.png,as-is (cobalt blue) + 「075/150」 番号入り,uttsx,https://wearmu.com/jf/uttsx
076,Order A,JIU FIGHT · taped hands · #076/150,WHITE,LL,1,076_front.png,076_back.png,as-is (cobalt blue) + 「076/150」 番号入り,2xzsq,https://wearmu.com/jf/2xzsq
077,Order A,JIU FIGHT · taped hands · #077/150,WHITE,LL,1,077_front.png,077_back.png,as-is (cobalt blue) + 「077/150」 番号入り,updkp,https://wearmu.com/jf/updkp
078,Order A,JIU FIGHT · taped hands · #078/150,WHITE,LL,1,078_front.png,078_back.png,as-is (cobalt blue) + 「078/150」 番号入り,eqhuw,https://wearmu.com/jf/eqhuw
079,Order A,JIU FIGHT · taped hands · #079/150,WHITE,LL,1,079_front.png,079_back.png,as-is (cobalt blue) + 「079/150」 番号入り,gq3g8,https://wearmu.com/jf/gq3g8
080,Order A,JIU FIGHT · taped hands · #080/150,WHITE,LL,1,080_front.png,080_back.png,as-is (cobalt blue) + 「080/150」 番号入り,xntb3,https://wearmu.com/jf/xntb3
081,Order A,JIU FIGHT · taped hands · #081/150,WHITE,LL,1,081_front.png,081_back.png,as-is (cobalt blue) + 「081/150」 番号入り,ejy7t,https://wearmu.com/jf/ejy7t
082,Order A,JIU FIGHT · taped hands · #082/150,WHITE,LL,1,082_front.png,082_back.png,as-is (cobalt blue) + 「082/150」 番号入り,btwrz,https://wearmu.com/jf/btwrz
083,Order A,JIU FIGHT · taped hands · #083/150,WHITE,LL,1,083_front.png,083_back.png,as-is (cobalt blue) + 「083/150」 番号入り,7yf76,https://wearmu.com/jf/7yf76
084,Order A,JIU FIGHT · taped hands · #084/150,WHITE,LL,1,084_front.png,084_back.png,as-is (cobalt blue) + 「084/150」 番号入り,k6tk7,https://wearmu.com/jf/k6tk7
085,Order A,JIU FIGHT · taped hands · #085/150,WHITE,LL,1,085_front.png,085_back.png,as-is (cobalt blue) + 「085/150」 番号入り,z4wec,https://wearmu.com/jf/z4wec
086,Order A,JIU FIGHT · taped hands · #086/150,WHITE,LL,1,086_front.png,086_back.png,as-is (cobalt blue) + 「086/150」 番号入り,t4xdt,https://wearmu.com/jf/t4xdt
087,Order A,JIU FIGHT · taped hands · #087/150,WHITE,LL,1,087_front.png,087_back.png,as-is (cobalt blue) + 「087/150」 番号入り,3pxk5,https://wearmu.com/jf/3pxk5
088,Order A,JIU FIGHT · taped hands · #088/150,WHITE,LL,1,088_front.png,088_back.png,as-is (cobalt blue) + 「088/150」 番号入り,xubek,https://wearmu.com/jf/xubek
089,Order A,JIU FIGHT · taped hands · #089/150,WHITE,LL,1,089_front.png,089_back.png,as-is (cobalt blue) + 「089/150」 番号入り,jse9y,https://wearmu.com/jf/jse9y
090,Order A,JIU FIGHT · taped hands · #090/150,WHITE,LL,1,090_front.png,090_back.png,as-is (cobalt blue) + 「090/150」 番号入り,tuj5m,https://wearmu.com/jf/tuj5m
091,Order A,JIU FIGHT · taped hands · #091/150,WHITE,LL,1,091_front.png,091_back.png,as-is (cobalt blue) + 「091/150」 番号入り,742du,https://wearmu.com/jf/742du
092,Order A,JIU FIGHT · taped hands · #092/150,WHITE,LL,1,092_front.png,092_back.png,as-is (cobalt blue) + 「092/150」 番号入り,g82br,https://wearmu.com/jf/g82br
093,Order A,JIU FIGHT · taped hands · #093/150,WHITE,LL,1,093_front.png,093_back.png,as-is (cobalt blue) + 「093/150」 番号入り,fzsn2,https://wearmu.com/jf/fzsn2
094,Order A,JIU FIGHT · taped hands · #094/150,WHITE,LL,1,094_front.png,094_back.png,as-is (cobalt blue) + 「094/150」 番号入り,rgdxm,https://wearmu.com/jf/rgdxm
095,Order A,JIU FIGHT · taped hands · #095/150,WHITE,LL,1,095_front.png,095_back.png,as-is (cobalt blue) + 「095/150」 番号入り,xfqnw,https://wearmu.com/jf/xfqnw
096,Order A,JIU FIGHT · taped hands · #096/150,WHITE,LL,1,096_front.png,096_back.png,as-is (cobalt blue) + 「096/150」 番号入り,ttmb7,https://wearmu.com/jf/ttmb7
097,Order A,JIU FIGHT · taped hands · #097/150,WHITE,LL,1,097_front.png,097_back.png,as-is (cobalt blue) + 「097/150」 番号入り,kt6pk,https://wearmu.com/jf/kt6pk
098,Order A,JIU FIGHT · taped hands · #098/150,WHITE,LL,1,098_front.png,098_back.png,as-is (cobalt blue) + 「098/150」 番号入り,6pun5,https://wearmu.com/jf/6pun5
099,Order A,JIU FIGHT · taped hands · #099/150,WHITE,LL,1,099_front.png,099_back.png,as-is (cobalt blue) + 「099/150」 番号入り,fbwqk,https://wearmu.com/jf/fbwqk
100,Order A,JIU FIGHT · taped hands · #100/150,WHITE,LL,1,100_front.png,100_back.png,as-is (cobalt blue) + 「100/150」 番号入り,qt5kk,https://wearmu.com/jf/qt5kk
101,Order B,MU × JIUFIGHT · datestamp,WHITE,S,1,101.png,,as-is (red ink),ee8bt,https://wearmu.com/jf/ee8bt
102,Order B,MU × scoreboard,WHITE,S,1,102.png,,as-is (sumi black ink),sbgyd,https://wearmu.com/jf/sbgyd
103,Order B,MU × podium 1-2-3,WHITE,S,1,103.png,,as-is (sumi black ink),86rra,https://wearmu.com/jf/86rra
104,Order B,MU × bracket,WHITE,S,1,104.png,,as-is (sumi black ink),4rdhd,https://wearmu.com/jf/4rdhd
105,Order B,MU × huge VS,WHITE,S,1,105.png,,as-is (sumi black ink),kntxa,https://wearmu.com/jf/kntxa
106,Order B,MU × Japan map,WHITE,M,1,106.png,,as-is (sumi black ink),evs33,https://wearmu.com/jf/evs33
107,Order B,MU × MMXXVI,WHITE,M,1,107.png,,as-is (sumi black ink),u5jr5,https://wearmu.com/jf/u5jr5
108,Order B,MU × 柔,WHITE,M,1,108.png,,as-is (sumi black ink),m5r3n,https://wearmu.com/jf/m5r3n
109,Order B,triangle choke,WHITE,M,1,109.png,,as-is (cobalt blue),r7bqb,https://wearmu.com/jf/r7bqb
110,Order B,karate strike,WHITE,M,1,110.png,,as-is (cobalt blue),kmkgk,https://wearmu.com/jf/kmkgk
111,Order B,belt knot,WHITE,M,1,111.png,,as-is (cobalt blue),wj65k,https://wearmu.com/jf/wj65k
112,Order B,trophy,WHITE,M,1,112.png,,as-is (cobalt blue),f4r9x,https://wearmu.com/jf/f4r9x
113,Order B,crossed katana,WHITE,M,1,113.png,,as-is (cobalt blue),3tsde,https://wearmu.com/jf/3tsde
114,Order B,bracket tree,WHITE,M,1,114.png,,as-is (cobalt blue),ktnnr,https://wearmu.com/jf/ktnnr
115,Order B,tiger WILD CARD,WHITE,M,1,115.png,,as-is (cobalt blue),d32nw,https://wearmu.com/jf/d32nw
116,Order B,KIMURA,WHITE,LL,1,116.png,,as-is (cobalt blue),artsk,https://wearmu.com/jf/artsk
117,Order B,DRAGON SPIRIT,WHITE,LL,1,117.png,,as-is (cobalt blue),jv9as,https://wearmu.com/jf/jv9as
118,Order B,GOLD medal,WHITE,LL,1,118.png,,as-is (cobalt blue),gvest,https://wearmu.com/jf/gvest
119,Order B,HEEL HOOK,WHITE,LL,1,119.png,,as-is (cobalt blue),7fmee,https://wearmu.com/jf/7fmee
120,Order B,GUILLOTINE,WHITE,LL,1,120.png,,as-is (cobalt blue),t8wq2,https://wearmu.com/jf/t8wq2
121,Order B,WARRIOR kabuto,WHITE,LL,1,121.png,,as-is (sumi black ink),acrkk,https://wearmu.com/jf/acrkk
122,Order B,BEFORE THE FIGHT bow,WHITE,LL,1,122.png,,as-is (sumi black ink),bhktx,https://wearmu.com/jf/bhktx
123,Order B,RISE AGAIN phoenix,WHITE,LL,1,123.png,,as-is (sumi black ink),gs23y,https://wearmu.com/jf/gs23y
124,Order B,NIGHT WATCH owl,WHITE,LL,1,124.png,,as-is (sumi black ink),wa5se,https://wearmu.com/jf/wa5se
125,Order B,IRON WILL kettlebell,WHITE,LL,1,125.png,,as-is (sumi black ink),xthwc,https://wearmu.com/jf/xthwc
126,Order B,無 mu,BLACK,S,1,126.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),qrt7e,https://wearmu.com/jf/qrt7e
127,Order B,柔 jū,BLACK,S,1,127.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),hacjh,https://wearmu.com/jf/hacjh
128,Order B,極 kiwami,BLACK,S,1,128.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),y359s,https://wearmu.com/jf/y359s
129,Order B,道 dō,BLACK,S,1,129.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),mdwg3,https://wearmu.com/jf/mdwg3
130,Order B,闘 tatakai,BLACK,S,1,130.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),fn8k4,https://wearmu.com/jf/fn8k4
131,Order B,無心 mushin,BLACK,M,1,131.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),2pd7j,https://wearmu.com/jf/2pd7j
132,Order B,一本 ippon,BLACK,M,1,132.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),nbb4q,https://wearmu.com/jf/nbb4q
133,Order B,━◯━ MU,BLACK,M,1,133.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),gdgpw,https://wearmu.com/jf/gdgpw
134,Order B,shaka TOKYO,BLACK,M,1,134.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),hcmtr,https://wearmu.com/jf/hcmtr
135,Order B,tatami footprints,BLACK,M,1,135.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),8kkkr,https://wearmu.com/jf/8kkkr
136,Order B,stopwatch,BLACK,M,1,136.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),er9ej,https://wearmu.com/jf/er9ej
137,Order B,lotus + sun,BLACK,M,1,137.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),9n2d2,https://wearmu.com/jf/9n2d2
138,Order B,fan 柔,BLACK,M,1,138.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),zb9yg,https://wearmu.com/jf/zb9yg
139,Order B,rising koi,BLACK,M,1,139.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),ubkr8,https://wearmu.com/jf/ubkr8
140,Order B,TAKE THE BACK,BLACK,M,1,140.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),dq4am,https://wearmu.com/jf/dq4am
141,Order B,勝 katsu,BLACK,LL,1,141.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),ryvrk,https://wearmu.com/jf/ryvrk
142,Order B,練 ren,BLACK,LL,1,142.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),s4nsg,https://wearmu.com/jf/s4nsg
143,Order B,試合 shiai,BLACK,LL,1,143.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),wey86,https://wearmu.com/jf/wey86
144,Order B,覇 ha,BLACK,LL,1,144.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),n7vca,https://wearmu.com/jf/n7vca
145,Order B,FOLD UP origami,BLACK,LL,1,145.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),qewc9,https://wearmu.com/jf/qewc9
146,Order B,POST FIGHT FEAST,BLACK,LL,1,146.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),yfyvc,https://wearmu.com/jf/yfyvc
147,Order B,闘魂 toukon,BLACK,LL,1,147.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),7argf,https://wearmu.com/jf/7argf
148,Order B,全力 zenryoku,BLACK,LL,1,148.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),jhr4y,https://wearmu.com/jf/jhr4y
149,Order B,強 tsuyoi,BLACK,LL,1,149.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),esq48,https://wearmu.com/jf/esq48
150,Order B,AMERICANA,BLACK,LL,1,150.png,,INVERT → print in WHITE ink (sponsors stay color) · BLACK 反転 (white-ink underbase),c67vy,https://wearmu.com/jf/c67vy
